Id,Date,Open,High,Low,Close,Volume,Stock_Trading
303,10/6/2015,50390,50700,49580,50590,606400,30494028000
304,10/5/2015,49260,49940,49110,49730,515100,25556693000
305,10/2/2015,49120,49830,48600,48730,425900,20900196000
306,10/1/2015,48370,49940,48030,49300,808500,39701904000
307,9/30/2015,47700,48660,47280,48490,814000,39198155000
308,9/29/2015,47140,47370,46690,47150,960200,45157835000
309,9/28/2015,46850,47560,46400,47490,644100,30291365000
310,9/25/2015,45410,46800,45410,46800,769700,35580005000
311,9/24/2015,45000,46260,44660,45300,536700,24450285000
312,9/18/2015,46710,47245,46160,46160,570000,26541043500
313,9/17/2015,47075,47460,46665,47405,493800,23302759000
314,9/16/2015,47550,47885,45895,46375,660100,30780213500
315,9/15/2015,46700,47900,46655,47150,707200,33422825500
316,9/14/2015,48060,48250,46020,46365,672500,31600870500
317,9/11/2015,46160,47860,46060,47620,2153600,1.00E+11
318,9/10/2015,47625,47995,45960,46925,1201700,56173470000
319,9/9/2015,46950,49725,46260,49725,1322600,63979070000
320,9/8/2015,47155,47270,45125,45170,608900,27891213000
321,9/7/2015,46110,47595,45270,46665,696300,32338135000
322,9/4/2015,48150,48345,46120,46465,667100,31329772500
323,9/3/2015,49515,49550,47510,47795,699500,33732633500
324,9/2/2015,46845,49595,46680,48400,946400,46103975000
325,9/1/2015,48990,49145,47480,47480,725400,35077530000
326,8/31/2015,50430,50640,48890,49265,700000,34653583500
327,8/28/2015,50880,51090,50070,50830,645900,32691164000
328,8/27/2015,51000,51380,49620,50290,749100,37672718000
329,8/26/2015,47275,50710,46210,50620,1478500,71405436000
330,8/25/2015,49900,51450,47660,47975,1550200,76941248000
331,8/24/2015,51440,52890,50120,50900,1074700,55018235000
332,8/21/2015,53130,53680,52140,52170,675800,35673740000
333,8/20/2015,53920,54650,53250,54040,465800,25126799000
334,8/19/2015,54130,54740,53740,53860,485500,26264263000
335,8/18/2015,55500,55940,54400,54510,420900,23156417000
336,8/17/2015,55390,55620,55110,55500,254500,14087584000
337,8/14/2015,55090,55450,54470,54990,612900,33756516000
338,8/13/2015,54880,55720,54320,55510,738900,40778629000
339,8/12/2015,55000,55670,54000,54000,853500,46569662000
340,8/11/2015,56540,56760,55020,55550,712200,39719676000
341,8/10/2015,56050,57320,55910,56540,563000,31884997000
342,8/7/2015,56430,57080,56200,56700,643700,36488721000
343,8/6/2015,58880,58900,56920,57220,854100,49254096000
344,8/5/2015,59580,59960,58440,58480,910800,53628659000
345,8/4/2015,60450,61830,60360,61380,502800,30855050000
346,8/3/2015,60820,61280,60440,60740,363300,22071037000
347,7/31/2015,61550,61650,60670,61370,498200,30521965000
348,7/30/2015,60800,61970,60740,61930,737700,45380183000
349,7/29/2015,59880,60460,59480,60230,559600,33606522000
350,7/28/2015,58050,59460,57820,59370,565800,33276920000
351,7/27/2015,57840,58610,57520,58270,376900,21874391000
352,7/24/2015,58900,59080,58210,58250,394400,23053682000
353,7/23/2015,58800,60000,58700,59280,486000,28874506000
354,7/22/2015,58510,59180,58500,58790,440000,25867114000
355,7/21/2015,57800,59280,57580,59270,524100,30673779000
356,7/17/2015,56840,57440,56760,57220,429000,24538202000
357,7/16/2015,56100,56850,55900,56600,613000,34644887000
358,7/15/2015,55840,56070,55240,55670,445300,24824157000
359,7/14/2015,55010,55950,54780,55530,655900,36316976000
360,7/13/2015,54000,54690,53650,54530,671300,36446643000
361,7/10/2015,56000,56020,53740,54010,1901200,1.04E+11
362,7/9/2015,55200,57460,54760,57460,1136200,63700445000
363,7/8/2015,56250,56540,54810,55180,906400,50454746000
364,7/7/2015,55920,56250,55640,56250,505900,28336606000
365,7/6/2015,54570,55640,54320,54810,876900,48099223000
366,7/3/2015,56130,56280,54880,55740,989600,55060846000
367,7/2/2015,57780,58400,57200,57870,657100,38057906000
368,7/1/2015,55850,56660,55700,56610,439300,24766733000
369,6/30/2015,54900,55560,54530,55560,489700,27011984000
370,6/29/2015,55500,56180,54550,54560,765900,42232452000
371,6/26/2015,56490,56870,56130,56240,413600,23358376000
372,6/25/2015,55390,57000,55360,55970,556400,31280410000
373,6/24/2015,55300,55900,54900,55590,552500,30696124000
374,6/23/2015,53960,55080,53780,55080,675700,36962444000
375,6/22/2015,52380,53960,52350,53910,598500,31970811000
376,6/19/2015,52340,52570,52140,52170,459700,24026458000
377,6/18/2015,52590,52590,52080,52200,398500,20847886000
378,6/17/2015,52550,52720,52050,52560,374400,19613025000
379,6/16/2015,52660,53100,52340,52550,359800,18961892000
380,6/15/2015,52320,52770,52290,52740,361900,19028464000
381,6/12/2015,53400,53400,52440,52770,1304500,69268109000
382,6/11/2015,51390,52980,51370,52980,726900,38088465000
383,6/10/2015,50970,51440,50580,51000,493800,25207828000
384,6/9/2015,51390,51580,50660,50660,517400,26481130000
385,6/8/2015,51330,51750,51250,51720,453900,23403241000
386,6/5/2015,50690,51060,50520,50960,356400,18105270000
387,6/4/2015,51270,51430,50640,50740,432400,22068822000
388,6/3/2015,51250,51270,50830,51030,476000,24299100000
389,6/2/2015,51440,51500,51030,51320,356000,18252608000
390,6/1/2015,51120,51440,50970,51250,351700,17998698000
391,5/29/2015,50700,51640,50550,51300,588000,30160665000
392,5/28/2015,51270,51490,50630,50970,524300,26830709000
393,5/27/2015,50510,50980,50460,50930,424300,21558725000
394,5/26/2015,50750,50950,50520,50880,474200,24096004000
395,5/25/2015,50150,50810,50150,50670,359400,18164225000
396,5/22/2015,50010,50400,49635,50300,395300,19804441500
397,5/21/2015,50110,50460,49995,50100,317500,15924151500
398,5/20/2015,50280,50630,50050,50200,509100,25599881000
399,5/19/2015,49490,50230,49250,50010,728500,36366665500
400,5/18/2015,48505,49130,48280,49035,297700,14566148000
401,5/15/2015,48680,48940,48410,48565,429300,20874748500
402,5/14/2015,49055,49150,48220,48275,666700,32450015500
403,5/13/2015,48545,49545,48130,49515,638200,31296229000
404,5/12/2015,48250,48620,47930,48335,556400,26877922500
405,5/11/2015,47820,48450,47660,48450,498500,24005092500
406,5/8/2015,47100,47790,47030,47120,822600,38849029500
407,5/7/2015,47295,47500,47015,47105,608200,28712900500
408,5/1/2015,47205,47830,47075,47590,554700,26357250000
409,4/30/2015,48480,48480,47295,47295,832300,39767106000
410,4/28/2015,48600,49145,48410,48930,567700,27750221000
411,4/27/2015,48700,48710,48050,48050,481100,23206914000
412,4/24/2015,49225,49435,48675,48705,422900,20682517500
413,4/23/2015,49450,49600,48965,49395,545500,26935760000
414,4/22/2015,48830,49340,48635,49245,549500,26989044500
415,4/21/2015,48270,48500,47730,48385,481500,23155188000
416,4/20/2015,47600,48310,47400,48075,504800,24222356500
417,4/17/2015,48500,48595,47750,47760,534500,25694302500
418,4/16/2015,49220,49270,48520,48600,466000,22717845500
419,4/15/2015,49735,49860,49030,49185,460700,22736848500
420,4/14/2015,49835,50080,49705,49805,377400,18801895500
421,4/13/2015,50200,50350,49750,50150,468900,23473902500
422,4/10/2015,49500,50650,49410,49700,1730300,86416747500
423,4/9/2015,47715,48560,47685,48500,630800,30469496500
424,4/8/2015,47380,47580,47095,47580,483600,22907036500
425,4/7/2015,47410,47540,47020,47540,537700,25466546000
426,4/6/2015,47395,47620,47235,47300,465200,22049742000
427,4/3/2015,47280,47765,47200,47610,511000,24286904500
428,4/2/2015,46865,47280,46505,47115,666400,31350199000
429,4/1/2015,47180,47200,46410,46770,883600,41428885000
430,3/31/2015,47500,47585,46495,46495,860000,40309266000
431,3/30/2015,46455,47880,46430,47455,730600,34586813500
432,3/27/2015,46610,47280,45720,46225,653300,30380138000
433,3/26/2015,46800,47055,46210,46330,508200,23622933000
434,3/25/2015,47125,47255,46525,46925,432400,20283261500
435,3/24/2015,47145,47480,46865,46950,457000,21539297500
436,3/23/2015,46900,47275,46620,47145,477000,22453326500
437,3/20/2015,45670,46815,45670,46815,616800,28606955500
438,3/19/2015,45585,45930,45410,45475,601700,27422566000
439,3/18/2015,46295,46325,45760,46140,468200,21523470000
440,3/17/2015,46810,46845,46175,46200,423600,19637008000
441,3/16/2015,46190,46760,46160,46265,498500,23161078500
442,3/13/2015,46165,46520,45910,46275,1911400,88329791500
443,3/12/2015,45125,45680,44840,45515,582600,26421415000
444,3/11/2015,44190,45395,44105,44920,603900,27121027500
445,3/10/2015,45640,45720,44255,44420,685800,30779639500
446,3/9/2015,45680,45885,45325,45340,511600,23266846500
447,3/6/2015,46180,46720,46015,46115,525300,24324149500
448,3/5/2015,46010,46285,45690,45690,345900,15876667000
449,3/4/2015,45910,46415,45770,46165,363900,16789881000
450,3/3/2015,47000,47035,46000,46040,477800,22111389000
451,3/2/2015,46525,47065,46300,46850,495900,23173087500
452,2/27/2015,46150,46665,46000,46330,558800,25878390000
453,2/26/2015,45030,46050,44940,45990,582500,26601365000
454,2/25/2015,45000,45195,44725,44905,504200,22665613000
455,2/24/2015,44500,45300,44440,45300,728600,32803373000
456,2/23/2015,43545,44455,43270,44355,800900,35283573500
457,2/20/2015,43220,43345,42810,42910,444700,19115553000
458,2/19/2015,43780,43970,43035,43065,563200,24425624000
459,2/18/2015,43505,43740,43325,43705,520800,22709152500
460,2/17/2015,43850,44040,43400,43505,333700,14573050000
461,2/16/2015,44115,44295,44000,44065,296700,13084822000
462,2/13/2015,43940,44250,43850,44005,682000,29989506500
463,2/12/2015,44250,44340,43870,44305,505100,22314017000
464,2/10/2015,43615,43690,43235,43435,456700,19817334500
465,2/9/2015,44435,44445,43900,43935,362200,15964668500
466,2/6/2015,44175,44270,43815,44005,354300,15596388000
467,2/5/2015,43560,43920,43425,43475,477400,20815598500
468,2/4/2015,43100,43890,42930,43850,636800,27719271500
469,2/3/2015,43245,43350,42055,42185,517600,22025296500
470,2/2/2015,43400,43740,43005,43055,430700,18638294000
471,1/30/2015,44300,44400,43720,44020,577500,25407763500
472,1/29/2015,43165,44220,43100,43675,648300,28393390000
473,1/28/2015,42845,43865,42720,43600,582300,25356404000
474,1/27/2015,42870,43380,42670,43160,471200,20310178000
475,1/26/2015,41945,42580,41900,42340,384200,16248469000
476,1/23/2015,42970,43095,42485,42645,356600,15274318000
